contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Ticker,Expiry,Option_Type,Market_Price
AAPL260720C00205000,2026-07-20 15:01:51+00:00,205.0,121.8,119.35,121.9,-5.2999954,-4.169941,3,0,5.141605135498047,True,REGULAR,USD,AAPL,2026-07-20,Call,120.625
AAPL260720C00215000,2026-07-20 15:26:47+00:00,215.0,109.97,109.45,111.5,9.779999,9.761452,21,1,4.569340225830079,True,REGULAR,USD,AAPL,2026-07-20,Call,110.475
AAPL260720C00220000,2026-07-20 15:33:48+00:00,220.0,105.12,104.5,106.35,9.900002,10.396976,37,1,4.312504609374999,True,REGULAR,USD,AAPL,2026-07-20,Call,105.425
AAPL260720C00225000,2026-07-20 15:33:48+00:00,225.0,100.22,99.6,100.95,9.970001,11.047092,35,0,3.9814453588867185,True,REGULAR,USD,AAPL,2026-07-20,Call,100.275
AAPL260720C00230000,2026-07-20 15:12:03+00:00,230.0,95.72,94.2,96.05,-4.5,-4.490122,27,16,3.6523446191406252,True,REGULAR,USD,AAPL,2026-07-20,Call,95.125
AAPL260720C00235000,2026-07-20 15:12:03+00:00,235.0,90.82,89.65,91.15,11.82,14.962026,65,0,3.669922700195313,True,REGULAR,USD,AAPL,2026-07-20,Call,90.4
AAPL260720C00240000,2026-07-20 15:15:08+00:00,240.0,85.45,83.95,86.25,11.449997,15.47297,54,0,3.244142514648437,True,REGULAR,USD,AAPL,2026-07-20,Call,85.1
AAPL260720C00245000,2026-07-20 15:18:12+00:00,245.0,80.14,79.05,81.35,10.019997,14.2897835,55,2,3.13281466796875,True,REGULAR,USD,AAPL,2026-07-20,Call,80.19999999999999
AAPL260720C00250000,2026-07-20 15:39:04+00:00,250.0,75.4,74.6,76.7,10.270004,15.768471,135,2,3.2226581933593748,True,REGULAR,USD,AAPL,2026-07-20,Call,75.65
AAPL260720C00255000,2026-07-20 15:39:04+00:00,255.0,70.5,69.65,71.9,10.330002,17.168028,97,0,3.0888694653320306,True,REGULAR,USD,AAPL,2026-07-20,Call,70.775
AAPL260720C00260000,2026-07-20 15:38:35+00:00,260.0,65.6,64.35,66.9,-8.230003,-11.147235,13,1,2.8134795288085934,True,REGULAR,USD,AAPL,2026-07-20,Call,65.625
AAPL260720C00265000,2026-07-20 15:38:35+00:00,265.0,60.7,59.45,61.9,-5.1000023,-7.7507634,12,2,2.6435580786132817,True,REGULAR,USD,AAPL,2026-07-20,Call,60.675
AAPL260720C00270000,2026-07-20 14:33:07+00:00,270.0,56.82,54.55,56.9,-0.02999878,-0.0527683,9,3,2.4707069482421877,True,REGULAR,USD,AAPL,2026-07-20,Call,55.724999999999994
AAPL260720C00275000,2026-07-20 15:49:50+00:00,275.0,50.84,49.65,51.7,-7.829998,-13.34583,486,26,2.2558637353515625,True,REGULAR,USD,AAPL,2026-07-20,Call,50.675
AAPL260720C00277500,2026-07-20 15:49:50+00:00,277.5,48.25,47.15,49.2,-7.9399986,-14.130627,468,37,2.1591842895507813,True,REGULAR,USD,AAPL,2026-07-20,Call,48.175
AAPL260720C00280000,2026-07-20 16:17:12+00:00,280.0,45.41,44.75,45.95,-7.3100014,-13.881506,99,50,1.9238285058593751,True,REGULAR,USD,AAPL,2026-07-20,Call,45.35
AAPL260720C00282500,2026-07-20 16:16:25+00:00,282.5,42.92,41.4,44.4,-8.18,-16.017231,115,71,1.8544929150390623,True,REGULAR,USD,AAPL,2026-07-20,Call,42.9
AAPL260720C00285000,2026-07-20 16:17:06+00:00,285.0,40.51,39.3,41.75,-7.4900017,-15.584689,97,74,1.8134774951171875,True,REGULAR,USD,AAPL,2026-07-20,Call,40.525
AAPL260720C00287500,2026-07-20 16:18:05+00:00,287.5,37.95,36.9,39.05,-4.619999,-10.837437,95,20,1.7001968115234376,True,REGULAR,USD,AAPL,2026-07-20,Call,37.974999999999994
AAPL260720C00290000,2026-07-20 16:17:12+00:00,290.0,35.58,34.45,36.4,-7.369999,-17.159485,118,55,1.5869161279296873,True,REGULAR,USD,AAPL,2026-07-20,Call,35.425
AAPL260720C00292500,2026-07-20 15:43:57+00:00,292.5,33.3,32.15,34.15,-8.32,-19.990389,50,60,1.5747091577148438,True,REGULAR,USD,AAPL,2026-07-20,Call,33.15
AAPL260720C00295000,2026-07-20 15:45:06+00:00,295.0,30.87,29.15,31.9,-4.0300007,-11.547279,38,21,1.4365262548828124,True,REGULAR,USD,AAPL,2026-07-20,Call,30.525
AAPL260720C00297500,2026-07-20 15:45:06+00:00,297.5,28.45,27.05,29.4,-7.9799995,-21.905022,9,12,1.4052764111328124,True,REGULAR,USD,AAPL,2026-07-20,Call,28.225
AAPL260720C00300000,2026-07-20 16:05:40+00:00,300.0,25.44,24.65,25.75,-8.519999,-25.088337,50,58,1.1362347875976564,True,REGULAR,USD,AAPL,2026-07-20,Call,25.2
AAPL260720C00302500,2026-07-20 15:48:01+00:00,302.5,22.85,22.1,24.3,-9.99,-30.42022,38,17,1.2001993115234375,True,REGULAR,USD,AAPL,2026-07-20,Call,23.200000000000003
AAPL260720C00305000,2026-07-20 16:17:24+00:00,305.0,20.0,20.0,21.65,-10.1,-33.21276,56,69,1.1337933935546878,True,REGULAR,USD,AAPL,2026-07-20,Call,20.825
