contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Ticker,Expiry,Option_Type,Market_Price
AAPL260720P00205000,2026-07-17 13:45:31+00:00,205.0,0.01,0.0,0.01,0.0,0.0,1.0,1.0,2.68750328125,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00210000,2026-07-20 15:04:13+00:00,210.0,0.01,0.0,0.02,0.0,0.0,2.0,5000.0,2.68750328125,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00215000,2026-07-20 14:14:40+00:00,215.0,0.02,0.0,0.02,0.01,100.0,7.0,5000.0,2.56250359375,False,REGULAR,USD,AAPL,2026-07-20,Put,0.02
AAPL260720P00220000,2026-07-17 17:13:17+00:00,220.0,0.05,0.0,0.02,0.0,0.0,1.0,4.0,2.4062539843749997,False,REGULAR,USD,AAPL,2026-07-20,Put,0.05
AAPL260720P00230000,2026-07-17 13:51:55+00:00,230.0,0.03,0.0,0.01,0.0,0.0,29.0,29.0,2.0625048437499998,False,REGULAR,USD,AAPL,2026-07-20,Put,0.03
AAPL260720P00235000,2026-07-17 16:05:14+00:00,235.0,0.01,0.0,0.02,-0.01,-50.0,2.0,2.0,2.031254921875,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00240000,2026-07-07 17:03:17+00:00,240.0,0.14,0.0,0.03,0.0,0.0,,1.0,1.96875015625,False,REGULAR,USD,AAPL,2026-07-20,Put,0.14
AAPL260720P00245000,2026-07-07 19:25:03+00:00,245.0,0.15,0.0,0.05,0.0,0.0,,1.0,1.9375003125,False,REGULAR,USD,AAPL,2026-07-20,Put,0.15
AAPL260720P00250000,2026-07-09 14:24:45+00:00,250.0,0.03,0.0,0.08,0.0,0.0,10.0,16.0,1.9062504687500001,False,REGULAR,USD,AAPL,2026-07-20,Put,0.03
AAPL260720P00255000,2026-07-13 14:13:40+00:00,255.0,0.01,0.0,0.07,0.0,0.0,9.0,5.0,1.75000125,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00260000,2026-07-15 19:50:13+00:00,260.0,0.01,0.0,0.05,0.0,0.0,5.0,12.0,1.5625021874999998,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00265000,2026-07-20 13:38:58+00:00,265.0,0.07,0.0,0.03,-0.38,-84.44445,3.0,5.0,1.3750031249999999,False,REGULAR,USD,AAPL,2026-07-20,Put,0.07
AAPL260720P00270000,2026-07-10 13:32:40+00:00,270.0,0.22,0.0,0.1,0.0,0.0,1.0,8.0,1.421877890625,False,REGULAR,USD,AAPL,2026-07-20,Put,0.22
AAPL260720P00275000,2026-07-17 14:00:19+00:00,275.0,0.01,0.0,0.05,0.0,0.0,1.0,53.0,1.203128984375,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00277500,2026-07-14 19:33:48+00:00,277.5,0.08,0.0,0.05,0.0,0.0,2.0,8.0,1.140629296875,False,REGULAR,USD,AAPL,2026-07-20,Put,0.08
AAPL260720P00280000,2026-07-16 19:38:09+00:00,280.0,0.02,0.0,0.01,0.0,0.0,3.0,20.0,0.937500625,False,REGULAR,USD,AAPL,2026-07-20,Put,0.02
AAPL260720P00282500,2026-07-16 19:34:28+00:00,282.5,0.02,0.0,0.04,0.0,0.0,3.0,2.0,0.9960937890625,False,REGULAR,USD,AAPL,2026-07-20,Put,0.02
AAPL260720P00285000,2026-07-20 14:50:57+00:00,285.0,0.05,0.0,0.09,0.04,399.99994,2.0,18.0,1.0312548437500002,False,REGULAR,USD,AAPL,2026-07-20,Put,0.05
AAPL260720P00287500,2026-07-17 14:05:14+00:00,287.5,0.32,0.0,0.07,0.0,0.0,1.0,4.0,0.937500625,False,REGULAR,USD,AAPL,2026-07-20,Put,0.32
AAPL260720P00290000,2026-07-20 13:32:19+00:00,290.0,0.01,0.0,0.01,-0.04,-80.00001,70.0,249.0,0.7187528125,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00292500,2026-07-17 18:10:54+00:00,292.5,0.02,0.0,0.03,0.0,0.0,10.0,116.0,0.7500025,False,REGULAR,USD,AAPL,2026-07-20,Put,0.02
AAPL260720P00295000,2026-07-17 19:25:51+00:00,295.0,0.05,0.0,0.01,0.0,0.0,16.0,145.0,0.6250037500000001,False,REGULAR,USD,AAPL,2026-07-20,Put,0.05
AAPL260720P00297500,2026-07-20 14:34:41+00:00,297.5,0.01,0.0,0.01,0.0,0.0,32.0,520.0,0.5625043750000001,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00300000,2026-07-20 15:12:51+00:00,300.0,0.01,0.0,0.01,-0.01,-50.0,9.0,945.0,0.51562984375,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00302500,2026-07-20 15:05:32+00:00,302.5,0.01,0.0,0.06,0.0,0.0,5.0,532.0,0.570316796875,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00305000,2026-07-20 14:33:58+00:00,305.0,0.01,0.0,0.01,-0.02,-66.66667,10.0,336.0,0.445318046875,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00307500,2026-07-20 13:48:49+00:00,307.5,0.01,0.0,0.01,-0.03,-75.0,20.0,703.0,0.39063109375,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00310000,2026-07-20 14:34:10+00:00,310.0,0.02,0.0,0.01,-0.02,-50.0,131.0,2001.0,0.3437565625,False,REGULAR,USD,AAPL,2026-07-20,Put,0.02
AAPL260720P00312500,2026-07-20 15:34:40+00:00,312.5,0.01,0.0,0.01,-0.049999997,-83.333336,568.0,1044.0,0.2890696093749999,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
AAPL260720P00315000,2026-07-20 16:03:35+00:00,315.0,0.01,0.0,0.01,-0.060000002,-85.71429,2838.0,3032.0,0.23438265625,False,REGULAR,USD,AAPL,2026-07-20,Put,0.01
